,clouds,fog_bool,humidity,hurricane_bool,lat,lon,pres,rain,rain_bool,snow,snow_bool,status,storm_bool,sun_bool,temp,time,tornado_bool,visibility,wind_deg,wind_speed
103,0,False,60,False,41.35443,-110.36667,801.36,0.0,False,0,False,clear sky,False,True,6.06,2016-10-10 15:00:00+00,False,,216.003,6.47
104,0,False,60,False,41.39961,-110.16989,801.36,0.0,False,0,False,clear sky,False,True,6.06,2016-10-10 15:00:00+00,False,,216.003,6.47
105,0,False,60,False,41.5353,-109.93325,801.36,0.0,False,0,False,clear sky,False,True,6.06,2016-10-10 15:00:00+00,False,,216.003,6.47
106,0,False,66,False,41.54241,-109.73244,812.79,0.0,False,0,False,clear sky,False,True,4.46,2016-10-10 15:00:00+00,False,,199.003,4.37
107,0,False,66,False,41.56436,-109.55076,812.79,0.0,False,0,False,clear sky,False,True,4.46,2016-10-10 15:00:00+00,False,,199.003,4.37
108,0,False,66,False,41.52883,-109.45519,812.79,0.0,False,0,False,clear sky,False,True,4.46,2016-10-10 15:00:00+00,False,,199.003,4.37
109,0,False,65,False,41.55386,-109.31831,801.76,0.0,False,0,False,clear sky,False,True,2.36,2016-10-10 15:00:00+00,False,,178.503,2.77
110,0,False,65,False,41.59505,-109.17858,801.76,0.0,False,0,False,clear sky,False,True,2.36,2016-10-10 15:00:00+00,False,,178.503,2.77
111,0,False,44,False,41.67088,-108.93014,801.52,0.0,False,0,False,clear sky,False,True,3.41,2016-10-10 15:00:00+00,False,,213.003,3.62
112,0,False,44,False,41.67615,-108.77024,801.52,0.0,False,0,False,clear sky,False,True,3.41,2016-10-10 15:00:00+00,False,,213.003,3.62
113,0,False,44,False,41.64944,-108.61976,801.52,0.0,False,0,False,clear sky,False,True,3.41,2016-10-10 15:00:00+00,False,,213.003,3.62
114,0,False,54,False,41.63759,-108.2356,798.2,0.0,False,0,False,clear sky,False,True,4.26,2016-10-10 15:00:00+00,False,,196.003,3.67
115,0,False,54,False,41.70396,-107.89676,798.2,0.0,False,0,False,clear sky,False,True,4.26,2016-10-10 15:00:00+00,False,,196.003,3.67
116,0,False,70,False,41.72812,-107.72866,804.68,0.0,False,0,False,clear sky,False,True,4.86,2016-10-10 15:00:00+00,False,,206.503,3.82
117,0,False,70,False,41.78756,-107.37856,804.68,0.0,False,0,False,clear sky,False,True,4.86,2016-10-10 15:00:00+00,False,,206.503,3.82
118,0,False,70,False,41.78935,-107.1979,804.68,0.0,False,0,False,clear sky,False,True,4.86,2016-10-10 15:00:00+00,False,,206.503,3.82
119,0,False,66,False,41.74524,-106.92658,804.6,0.0,False,0,False,clear sky,False,True,6.31,2016-10-10 15:00:00+00,False,,221.503,3.87
120,0,False,66,False,41.73615,-106.60207,804.6,0.0,False,0,False,clear sky,False,True,6.31,2016-10-10 15:00:00+00,False,,221.503,3.87
121,0,False,66,False,41.70793,-106.42896,804.6,0.0,False,0,False,clear sky,False,True,6.31,2016-10-10 15:00:00+00,False,,221.503,3.87
122,0,False,49,False,41.63794,-106.29057,764.8,0.0,False,0,False,clear sky,False,True,8.61,2016-10-10 15:00:00+00,False,,241.003,2.92
123,0,False,49,False,41.54946,-106.09027,764.8,0.0,False,0,False,clear sky,False,True,8.61,2016-10-10 15:00:00+00,False,,241.003,2.92
124,0,False,49,False,41.44184,-105.95319,764.8,0.0,False,0,False,clear sky,False,True,8.61,2016-10-10 15:00:00+00,False,,241.003,2.92
125,0,False,52,False,41.36248,-105.77411,787.74,0.0,False,0,False,clear sky,False,True,8.91,2016-10-10 15:00:00+00,False,,241.003,4.82
126,0,False,52,False,41.33932,-105.61809,787.74,0.0,False,0,False,clear sky,False,True,8.91,2016-10-10 15:00:00+00,False,,241.003,4.82
127,0,False,52,False,41.27952,-105.51588,787.74,0.0,False,0,False,clear sky,False,True,8.91,2016-10-10 15:00:00+00,False,,241.003,4.82
128,0,False,52,False,41.25276,-105.4459,787.74,0.0,False,0,False,clear sky,False,True,8.91,2016-10-10 15:00:00+00,False,,241.003,4.82
129,0,False,52,False,41.18621,-105.42269,787.74,0.0,False,0,False,clear sky,False,True,8.91,2016-10-10 15:00:00+00,False,,241.003,4.82
130,0,False,41,False,41.11646,-105.27903,814.98,0.0,False,0,False,clear sky,False,True,12.46,2016-10-10 15:00:00+00,False,,258.503,7.82
131,0,False,41,False,41.09971,-105.14826,814.98,0.0,False,0,False,clear sky,False,True,12.46,2016-10-10 15:00:00+00,False,,258.503,7.82
132,0,False,41,False,41.10756,-104.9864,814.98,0.0,False,0,False,clear sky,False,True,12.46,2016-10-10 15:00:00+00,False,,258.503,7.82
133,0,False,41,False,41.12409,-104.76107,814.98,0.0,False,0,False,clear sky,False,True,12.46,2016-10-10 15:00:00+00,False,,258.503,7.82
134,0,False,38,False,41.15672,-104.46492,846.99,0.0,False,0,False,clear sky,False,True,14.81,2016-10-10 15:00:00+00,False,,264.503,7.42
135,0,False,39,False,41.16488,-104.09082,864.34,0.0,False,0,False,clear sky,False,True,14.56,2016-10-10 15:00:00+00,False,,265.503,6.07
136,0,False,39,False,41.19245,-103.98449,864.34,0.0,False,0,False,clear sky,False,True,14.56,2016-10-10 15:00:00+00,False,,265.503,6.07
137,0,False,39,False,41.22119,-103.61711,864.34,0.0,False,0,False,clear sky,False,True,14.56,2016-10-10 15:00:00+00,False,,265.503,6.07
138,0,False,20,False,41.21723,-103.36696,879.65,0.0,False,0,False,clear sky,False,True,26.36,2016-10-10 21:00:00+00,False,,283.503,3.11
139,0,False,20,False,41.16788,-103.10769,879.65,0.0,False,0,False,clear sky,False,True,26.36,2016-10-10 21:00:00+00,False,,283.503,3.11
140,0,False,20,False,41.11522,-102.89749,879.65,0.0,False,0,False,clear sky,False,True,26.36,2016-10-10 21:00:00+00,False,,283.503,3.11
141,0,False,25,False,41.1108,-102.56301,892.78,0.0,False,0,False,clear sky,False,True,26.71,2016-10-10 21:00:00+00,False,,234.503,2.01
142,0,False,24,False,41.0454,-102.29361,891.33,0.0,False,0,False,clear sky,False,True,27.01,2016-10-10 21:00:00+00,False,,262.003,3.66
143,0,False,24,False,41.06234,-102.00796,891.33,0.0,False,0,False,clear sky,False,True,27.01,2016-10-10 21:00:00+00,False,,262.003,3.66
144,0,False,26,False,41.11356,-101.73898,900.81,0.0,False,0,False,clear sky,False,True,26.71,2016-10-10 21:00:00+00,False,,203.003,2.31
145,0,False,26,False,41.11783,-101.575,900.81,0.0,False,0,False,clear sky,False,True,26.71,2016-10-10 21:00:00+00,False,,203.003,2.31
146,0,False,24,False,41.10748,-101.38802,908.92,0.0,False,0,False,clear sky,False,True,26.96,2016-10-10 21:00:00+00,False,,222.003,2.86
147,0,False,22,False,41.13227,-101.22612,918.16,0.0,False,0,False,clear sky,False,True,27.41,2016-10-10 21:00:00+00,False,,226.003,3.61
148,0,False,22,False,41.13336,-100.93963,918.16,0.0,False,0,False,clear sky,False,True,27.41,2016-10-10 21:00:00+00,False,,226.003,3.61
149,0,False,22,False,41.09673,-100.67577,918.16,0.0,False,0,False,clear sky,False,True,27.41,2016-10-10 21:00:00+00,False,,226.003,3.61
150,0,False,22,False,41.04597,-100.49831,918.16,0.0,False,0,False,clear sky,False,True,27.41,2016-10-10 21:00:00+00,False,,226.003,3.61
151,0,False,38,False,40.9649,-100.28036,932.34,0.0,False,0,False,clear sky,False,True,27.71,2016-10-10 21:00:00+00,False,,202.003,5.56
152,0,False,38,False,40.86594,-100.0346,932.34,0.0,False,0,False,clear sky,False,True,27.71,2016-10-10 21:00:00+00,False,,202.003,5.56
153,0,False,40,False,40.78679,-99.85751,941.34,0.0,False,0,False,clear sky,False,True,27.06,2016-10-10 21:00:00+00,False,,197.003,6.91
154,0,False,40,False,40.71214,-99.67744,941.34,0.0,False,0,False,clear sky,False,True,27.06,2016-10-10 21:00:00+00,False,,197.003,6.91
155,0,False,40,False,40.69417,-99.45805,941.34,0.0,False,0,False,clear sky,False,True,27.06,2016-10-10 21:00:00+00,False,,197.003,6.91
156,0,False,41,False,40.68764,-99.32842,951.07,0.0,False,0,False,clear sky,False,True,26.11,2016-10-10 21:00:00+00,False,,195.503,7.71
157,0,False,41,False,40.67301,-99.22727,951.07,0.0,False,0,False,clear sky,False,True,26.11,2016-10-10 21:00:00+00,False,,195.503,7.71
158,0,False,41,False,40.66918,-99.0849,951.07,0.0,False,0,False,clear sky,False,True,26.11,2016-10-10 21:00:00+00,False,,195.503,7.71
159,0,False,41,False,40.69392,-98.87917,951.07,0.0,False,0,False,clear sky,False,True,26.11,2016-10-10 21:00:00+00,False,,195.503,7.71
160,0,False,39,False,40.72595,-98.67363,960.23,0.0,False,0,False,clear sky,False,True,25.66,2016-10-10 21:00:00+00,False,,196.003,8.36
161,0,False,39,False,40.80094,-98.48427,960.23,0.0,False,0,False,clear sky,False,True,25.66,2016-10-10 21:00:00+00,False,,196.003,8.36
162,0,False,39,False,40.821,-98.27055,960.23,0.0,False,0,False,clear sky,False,True,25.66,2016-10-10 21:00:00+00,False,,196.003,8.36
163,0,False,41,False,40.82103,-97.80074,967.68,0.0,False,0,False,clear sky,False,True,24.76,2016-10-10 21:00:00+00,False,,196.003,9.01
164,8,False,43,False,40.82149,-97.324,975.38,0.0,False,0,False,clear sky,False,True,24.16,2016-10-10 21:00:00+00,False,,197.003,9.31
165,8,False,43,False,40.82142,-96.95511,975.38,0.0,False,0,False,clear sky,False,True,24.16,2016-10-10 21:00:00+00,False,,197.003,9.31
166,36,False,47,False,40.83173,-96.74563,984.14,0.0,False,0,False,scattered clouds,False,False,23.56,2016-10-10 21:00:00+00,False,,198.003,9.01
167,36,False,47,False,40.89735,-96.57483,984.14,0.0,False,0,False,scattered clouds,False,False,23.56,2016-10-10 21:00:00+00,False,,198.003,9.01
168,36,False,47,False,40.94318,-96.42611,984.14,0.0,False,0,False,scattered clouds,False,False,23.56,2016-10-10 21:00:00+00,False,,198.003,9.01
169,36,False,47,False,41.02877,-96.29491,984.14,0.0,False,0,False,scattered clouds,False,False,23.56,2016-10-10 21:00:00+00,False,,198.003,9.01
170,36,False,45,False,41.08472,-96.27239,989.08,0.0,False,0,False,scattered clouds,False,False,23.31,2016-10-10 21:00:00+00,False,,196.503,9.06
171,36,False,45,False,41.16169,-96.13899,989.08,0.0,False,0,False,scattered clouds,False,False,23.31,2016-10-10 21:00:00+00,False,,196.503,9.06
172,36,False,45,False,41.22394,-96.08697,989.08,0.0,False,0,False,scattered clouds,False,False,23.31,2016-10-10 21:00:00+00,False,,196.503,9.06
173,36,False,45,False,41.22644,-95.96381,989.08,0.0,False,0,False,scattered clouds,False,False,23.31,2016-10-10 21:00:00+00,False,,196.503,9.06
174,36,False,45,False,41.23201,-95.85302,989.08,0.0,False,0,False,scattered clouds,False,False,23.31,2016-10-10 21:00:00+00,False,,196.503,9.06
175,0,False,44,False,41.28765,-95.77961,988.68,0.0,False,0,False,clear sky,False,True,22.1,2016-10-11 00:00:00+00,False,,195.003,8.16
176,0,False,44,False,41.38311,-95.66923,988.68,0.0,False,0,False,clear sky,False,True,22.1,2016-10-11 00:00:00+00,False,,195.003,8.16
177,12,False,46,False,41.46005,-95.59756,986.58,0.0,False,0,False,few clouds,False,False,21.1,2016-10-11 00:00:00+00,False,,189.003,8.16
